Anual;Universidad;Rama;Medida;Valor;
Curso 2021-2022;Universidad de Almería;TOTAL;Número de grados ofertados;34;
Curso 2021-2022;Universidad de Almería;TOTAL;Nº de plazas ofertadas;3018;
Curso 2021-2022;Universidad de Almería;Artes y Humanidades;Número de grados ofertados;5;
Curso 2021-2022;Universidad de Almería;Artes y Humanidades;Nº de plazas ofertadas;275;
Curso 2021-2022;Universidad de Almería;Ciencias;Número de grados ofertados;4;
Curso 2021-2022;Universidad de Almería;Ciencias;Nº de plazas ofertadas;296;
Curso 2021-2022;Universidad de Almería;Ciencias Sociales y Jurídicas;Número de grados ofertados;16;
Curso 2021-2022;Universidad de Almería;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;1507;
Curso 2021-2022;Universidad de Almería;Ingeniería y Arquitectura;Número de grados ofertados;6;
Curso 2021-2022;Universidad de Almería;Ingeniería y Arquitectura;Nº de plazas ofertadas;600;
Curso 2021-2022;Universidad de Almería;Ciencias de la Salud;Número de grados ofertados;3;
Curso 2021-2022;Universidad de Almería;Ciencias de la Salud;Nº de plazas ofertadas;340;
Curso 2021-2022;Universidad de Cádiz;TOTAL;Número de grados ofertados;64;
Curso 2021-2022;Universidad de Cádiz;TOTAL;Nº de plazas ofertadas;4875;
Curso 2021-2022;Universidad de Cádiz;Artes y Humanidades;Número de grados ofertados;13;
Curso 2021-2022;Universidad de Cádiz;Artes y Humanidades;Nº de plazas ofertadas;470;
Curso 2021-2022;Universidad de Cádiz;Ciencias;Número de grados ofertados;9;
Curso 2021-2022;Universidad de Cádiz;Ciencias;Nº de plazas ofertadas;355;
Curso 2021-2022;Universidad de Cádiz;Ciencias Sociales y Jurídicas;Número de grados ofertados;21;
Curso 2021-2022;Universidad de Cádiz;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;2490;
Curso 2021-2022;Universidad de Cádiz;Ingeniería y Arquitectura;Número de grados ofertados;17;
Curso 2021-2022;Universidad de Cádiz;Ingeniería y Arquitectura;Nº de plazas ofertadas;925;
Curso 2021-2022;Universidad de Cádiz;Ciencias de la Salud;Número de grados ofertados;4;
Curso 2021-2022;Universidad de Cádiz;Ciencias de la Salud;Nº de plazas ofertadas;635;
Curso 2021-2022;Universidad de Córdoba;TOTAL;Número de grados ofertados;45;
Curso 2021-2022;Universidad de Córdoba;TOTAL;Nº de plazas ofertadas;3854;
Curso 2021-2022;Universidad de Córdoba;Artes y Humanidades;Número de grados ofertados;11;
Curso 2021-2022;Universidad de Córdoba;Artes y Humanidades;Nº de plazas ofertadas;630;
Curso 2021-2022;Universidad de Córdoba;Ciencias;Número de grados ofertados;8;
Curso 2021-2022;Universidad de Córdoba;Ciencias;Nº de plazas ofertadas;527;
Curso 2021-2022;Universidad de Córdoba;Ciencias Sociales y Jurídicas;Número de grados ofertados;9;
Curso 2021-2022;Universidad de Córdoba;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;1417;
Curso 2021-2022;Universidad de Córdoba;Ingeniería y Arquitectura;Número de grados ofertados;12;
Curso 2021-2022;Universidad de Córdoba;Ingeniería y Arquitectura;Nº de plazas ofertadas;767;
Curso 2021-2022;Universidad de Córdoba;Ciencias de la Salud;Número de grados ofertados;5;
Curso 2021-2022;Universidad de Córdoba;Ciencias de la Salud;Nº de plazas ofertadas;513;
Curso 2021-2022;Universidad de Granada;TOTAL;Número de grados ofertados;76;
Curso 2021-2022;Universidad de Granada;TOTAL;Nº de plazas ofertadas;10928;
Curso 2021-2022;Universidad de Granada;Artes y Humanidades;Número de grados ofertados;16;
Curso 2021-2022;Universidad de Granada;Artes y Humanidades;Nº de plazas ofertadas;1552;
Curso 2021-2022;Universidad de Granada;Ciencias;Número de grados ofertados;12;
Curso 2021-2022;Universidad de Granada;Ciencias;Nº de plazas ofertadas;1111;
Curso 2021-2022;Universidad de Granada;Ciencias Sociales y Jurídicas;Número de grados ofertados;27;
Curso 2021-2022;Universidad de Granada;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;5327;
Curso 2021-2022;Universidad de Granada;Ingeniería y Arquitectura;Número de grados ofertados;11;
Curso 2021-2022;Universidad de Granada;Ingeniería y Arquitectura;Nº de plazas ofertadas;1190;
Curso 2021-2022;Universidad de Granada;Ciencias de la Salud;Número de grados ofertados;10;
Curso 2021-2022;Universidad de Granada;Ciencias de la Salud;Nº de plazas ofertadas;1748;
Curso 2021-2022;Universidad de Huelva;TOTAL;Número de grados ofertados;38;
Curso 2021-2022;Universidad de Huelva;TOTAL;Nº de plazas ofertadas;2869;
Curso 2021-2022;Universidad de Huelva;Artes y Humanidades;Número de grados ofertados;6;
Curso 2021-2022;Universidad de Huelva;Artes y Humanidades;Nº de plazas ofertadas;305;
Curso 2021-2022;Universidad de Huelva;Ciencias;Número de grados ofertados;4;
Curso 2021-2022;Universidad de Huelva;Ciencias;Nº de plazas ofertadas;165;
Curso 2021-2022;Universidad de Huelva;Ciencias Sociales y Jurídicas;Número de grados ofertados;13;
Curso 2021-2022;Universidad de Huelva;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;1394;
Curso 2021-2022;Universidad de Huelva;Ingeniería y Arquitectura;Número de grados ofertados;13;
Curso 2021-2022;Universidad de Huelva;Ingeniería y Arquitectura;Nº de plazas ofertadas;710;
Curso 2021-2022;Universidad de Huelva;Ciencias de la Salud;Número de grados ofertados;2;
Curso 2021-2022;Universidad de Huelva;Ciencias de la Salud;Nº de plazas ofertadas;295;
Curso 2021-2022;Universidad de Jaén;TOTAL;Número de grados ofertados;44;
Curso 2021-2022;Universidad de Jaén;TOTAL;Nº de plazas ofertadas;3002;
Curso 2021-2022;Universidad de Jaén;Artes y Humanidades;Número de grados ofertados;5;
Curso 2021-2022;Universidad de Jaén;Artes y Humanidades;Nº de plazas ofertadas;225;
Curso 2021-2022;Universidad de Jaén;Ciencias;Número de grados ofertados;3;
Curso 2021-2022;Universidad de Jaén;Ciencias;Nº de plazas ofertadas;155;
Curso 2021-2022;Universidad de Jaén;Ciencias Sociales y Jurídicas;Número de grados ofertados;13;
Curso 2021-2022;Universidad de Jaén;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;1485;
Curso 2021-2022;Universidad de Jaén;Ingeniería y Arquitectura;Número de grados ofertados;19;
Curso 2021-2022;Universidad de Jaén;Ingeniería y Arquitectura;Nº de plazas ofertadas;705;
Curso 2021-2022;Universidad de Jaén;Ciencias de la Salud;Número de grados ofertados;4;
Curso 2021-2022;Universidad de Jaén;Ciencias de la Salud;Nº de plazas ofertadas;432;
Curso 2021-2022;Universidad de Málaga;TOTAL;Número de grados ofertados;68;
Curso 2021-2022;Universidad de Málaga;TOTAL;Nº de plazas ofertadas;7350;
Curso 2021-2022;Universidad de Málaga;Artes y Humanidades;Número de grados ofertados;10;
Curso 2021-2022;Universidad de Málaga;Artes y Humanidades;Nº de plazas ofertadas;970;
Curso 2021-2022;Universidad de Málaga;Ciencias;Número de grados ofertados;6;
Curso 2021-2022;Universidad de Málaga;Ciencias;Nº de plazas ofertadas;470;
Curso 2021-2022;Universidad de Málaga;Ciencias Sociales y Jurídicas;Número de grados ofertados;22;
Curso 2021-2022;Universidad de Málaga;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;3435;
Curso 2021-2022;Universidad de Málaga;Ingeniería y Arquitectura;Número de grados ofertados;23;
Curso 2021-2022;Universidad de Málaga;Ingeniería y Arquitectura;Nº de plazas ofertadas;1535;
Curso 2021-2022;Universidad de Málaga;Ciencias de la Salud;Número de grados ofertados;7;
Curso 2021-2022;Universidad de Málaga;Ciencias de la Salud;Nº de plazas ofertadas;940;
Curso 2021-2022;Universidad Pablo de Olavide;TOTAL;Número de grados ofertados;38;
Curso 2021-2022;Universidad Pablo de Olavide;TOTAL;Nº de plazas ofertadas;2561;
Curso 2021-2022;Universidad Pablo de Olavide;Artes y Humanidades;Número de grados ofertados;6;
Curso 2021-2022;Universidad Pablo de Olavide;Artes y Humanidades;Nº de plazas ofertadas;294;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias;Número de grados ofertados;3;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias;Nº de plazas ofertadas;172;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias Sociales y Jurídicas;Número de grados ofertados;25;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;1874;
Curso 2021-2022;Universidad Pablo de Olavide;Ingeniería y Arquitectura;Número de grados ofertados;2;
Curso 2021-2022;Universidad Pablo de Olavide;Ingeniería y Arquitectura;Nº de plazas ofertadas;95;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias de la Salud;Número de grados ofertados;2;
Curso 2021-2022;Universidad Pablo de Olavide;Ciencias de la Salud;Nº de plazas ofertadas;126;
Curso 2021-2022;Universidad de Sevilla;TOTAL;Número de grados ofertados;88;
Curso 2021-2022;Universidad de Sevilla;TOTAL;Nº de plazas ofertadas;12167;
Curso 2021-2022;Universidad de Sevilla;Artes y Humanidades;Número de grados ofertados;15;
Curso 2021-2022;Universidad de Sevilla;Artes y Humanidades;Nº de plazas ofertadas;1355;
Curso 2021-2022;Universidad de Sevilla;Ciencias;Número de grados ofertados;10;
Curso 2021-2022;Universidad de Sevilla;Ciencias;Nº de plazas ofertadas;740;
Curso 2021-2022;Universidad de Sevilla;Ciencias Sociales y Jurídicas;Número de grados ofertados;26;
Curso 2021-2022;Universidad de Sevilla;Ciencias Sociales y Jurídicas;Nº de plazas ofertadas;5633;
Curso 2021-2022;Universidad de Sevilla;Ingeniería y Arquitectura;Número de grados ofertados;26;
Curso 2021-2022;Universidad de Sevilla;Ingeniería y Arquitectura;Nº de plazas ofertadas;2619;
Curso 2021-2022;Universidad de Sevilla;Ciencias de la Salud;Número de grados ofertados;11;
Curso 2021-2022;Universidad de Sevilla;Ciencias de la Salud;Nº de plazas ofertadas;1820;
